player_name,course_name,event_name,h1,h2,h3,h4,avg_finish,starts,last_sg
"Smith, Jordan",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Koepka, Brooks",SEDGEFIELD,Wyndham Championship,—,—,—,—,,1,-1.9845000000000002
"James, Ben",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Neergaard-Petersen, Rasmus",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Poston, J.T.",SEDGEFIELD,Wyndham Championship,11,CUT,7,21,34.75,9,2.2960000000000003
"Mitchell, Keith",SEDGEFIELD,Wyndham Championship,CUT,12,—,54,55.333333333333336,6,-0.0615
"McNealy, Maverick",SEDGEFIELD,Wyndham Championship,—,45,—,—,45.0,2,0.22550000000000003
"Cauley, Bud",SEDGEFIELD,Wyndham Championship,CUT,CUT,—,—,100.0,5,-2.0614999999999997
"Hodges, Lee",SEDGEFIELD,Wyndham Championship,55,CUT,—,47,67.33333333333333,3,0.04600000000000004
"Ewart, A.J.",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Keefer, Johnny",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Brennan, Michael",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Mouw, William",SEDGEFIELD,Wyndham Championship,38,—,—,—,38.0,1,0.5459999999999998
"Merritt, Troy",SEDGEFIELD,Wyndham Championship,—,CUT,58,—,79.0,5,-2.589
"Dahmen, Joel",SEDGEFIELD,Wyndham Championship,15,64,64,81,56.0,7,2.0460000000000003
"English, Harris",SEDGEFIELD,Wyndham Championship,—,—,33,CUT,66.5,6,0.89025
"Kim, Michael",SEDGEFIELD,Wyndham Championship,62,WD,5,—,33.5,7,-0.45399999999999974
"Phillips, Chandler",SEDGEFIELD,Wyndham Championship,34,38,—,—,36.0,2,0.796
"Hossler, Beau",SEDGEFIELD,Wyndham Championship,15,12,CUT,—,42.333333333333336,6,2.0460000000000003
"Fishburn, Patrick",SEDGEFIELD,Wyndham Championship,8,CUT,—,—,54.0,2,2.5460000000000003
"Chatfield, Davis",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Harman, Brian",SEDGEFIELD,Wyndham Championship,—,45,—,71,58.0,5,0.22549999999999998
"Echavarria, Nico",SEDGEFIELD,Wyndham Championship,19,22,CUT,—,47.0,3,1.7960000000000003
"Meissner, Mac",SEDGEFIELD,Wyndham Championship,2,12,—,—,7.0,2,3.296
"Horschel, Billy",SEDGEFIELD,Wyndham Championship,—,7,4,27,12.666666666666666,7,1.9755
"Theegala, Sahith",SEDGEFIELD,Wyndham Championship,CUT,—,—,—,100.0,1,-4.0615000000000006
"Bauchou, Zach",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Cole, Eric",SEDGEFIELD,Wyndham Championship,74,7,14,—,31.666666666666668,3,-1.9539999999999997
"Van Rooyen, Erik",SEDGEFIELD,Wyndham Championship,WD,CUT,CUT,—,100.0,4,-4.526
"Castillo, Ricky",SEDGEFIELD,Wyndham Championship,23,—,—,—,23.0,1,1.546
"McCarthy, Denny",SEDGEFIELD,Wyndham Championship,11,33,CUT,CUT,61.0,8,2.2960000000000003
"McGreevy, Max",SEDGEFIELD,Wyndham Championship,34,—,51,5,30.0,3,0.796
"Hoey, Rico",SEDGEFIELD,Wyndham Championship,67,22,—,—,44.5,2,-0.7040000000000002
"Kanaya, Takumi",SEDGEFIELD,Wyndham Championship,CUT,—,—,—,100.0,1,-0.0615
"Im, Sungjae",SEDGEFIELD,Wyndham Championship,27,41,14,2,21.0,7,1.296
"Mazzoli, Stefano",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Clanton, Luke",SEDGEFIELD,Wyndham Championship,67,5,—,—,36.0,2,-0.704
"Roy, Kevin",SEDGEFIELD,Wyndham Championship,CUT,—,CUT,—,100.0,2,-1.0615
"Rodriguez, Lorenzo",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Kuchar, Matt",SEDGEFIELD,Wyndham Championship,44,12,38,—,31.333333333333332,4,0.2960000000000001
"Dou, Zecheng",SEDGEFIELD,Wyndham Championship,—,—,51,—,51.0,2,0.14024999999999999
"Taylor, Nick",SEDGEFIELD,Wyndham Championship,—,CUT,—,81,90.5,6,0.41100000000000003
"Svensson, Jesper",SEDGEFIELD,Wyndham Championship,CUT,—,—,—,100.0,1,-2.0614999999999997
"Greyserman, Max",SEDGEFIELD,Wyndham Championship,CUT,2,—,—,51.0,2,-0.0615
"Hisatsune, Ryo",SEDGEFIELD,Wyndham Championship,CUT,3,—,—,51.5,2,-4.5615000000000006
"Silverman, Ben",SEDGEFIELD,Wyndham Championship,CUT,CUT,—,—,100.0,4,-0.0615
"Shipley, Neal",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Potgieter, Aldrich",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Kirk, Chris",SEDGEFIELD,Wyndham Championship,5,—,CUT,—,52.5,5,2.7960000000000003
"Noren, Alex",SEDGEFIELD,Wyndham Championship,3,—,38,—,20.5,3,3.0460000000000003
"Eckroat, Austin",SEDGEFIELD,Wyndham Championship,CUT,6,CUT,—,68.66666666666667,4,-1.5615
"Penge, Marco",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Fisk, Steven",SEDGEFIELD,Wyndham Championship,60,—,—,—,60.0,1,-0.20400000000000001
"Garnett, Brice",SEDGEFIELD,Wyndham Championship,CUT,41,CUT,CUT,85.25,8,-0.0615
"Hojgaard, Rasmus",SEDGEFIELD,Wyndham Championship,34,—,—,—,34.0,1,0.796
"Putnam, Andrew",SEDGEFIELD,Wyndham Championship,CUT,CUT,27,27,63.5,5,-0.06149999999999989
"List, Luke",SEDGEFIELD,Wyndham Championship,CUT,CUT,—,—,100.0,5,-4.0615
"Smalley, Alex",SEDGEFIELD,Wyndham Championship,CUT,CUT,CUT,13,78.25,5,-0.5615
"Riley, Davis",SEDGEFIELD,Wyndham Championship,CUT,38,CUT,13,62.75,4,-0.5615000000000001
"Hoge, Tom",SEDGEFIELD,Wyndham Championship,—,—,—,—,,5,-1.0030000000000001
"Wise, Aaron",SEDGEFIELD,Wyndham Championship,WD,—,—,13,13.0,5,-0.526
"Saddier, Adrien",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Lipsky, David",SEDGEFIELD,Wyndham Championship,44,CUT,45,27,54.0,4,0.296
"Akina, Kihei",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Dumont De Chassart, Adrien",SEDGEFIELD,Wyndham Championship,—,CUT,—,—,100.0,1,-0.589
"Highsmith, Joe",SEDGEFIELD,Wyndham Championship,CUT,CUT,—,—,100.0,2,-2.0614999999999997
"Wu, Dylan",SEDGEFIELD,Wyndham Championship,—,CUT,51,CUT,83.66666666666667,3,-3.089
"Villegas, Camilo",SEDGEFIELD,Wyndham Championship,CUT,CUT,—,CUT,100.0,5,-1.5615
"Schmid, Matti",SEDGEFIELD,Wyndham Championship,31,64,22,—,39.0,3,1.046
"Finau, Tony",SEDGEFIELD,Wyndham Championship,44,—,—,—,44.0,1,0.2959999999999999
"Kang, Jeffrey",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Streelman, Kevin",SEDGEFIELD,Wyndham Championship,—,CUT,CUT,CUT,100.0,6,-2.589
"Glover, Lucas",SEDGEFIELD,Wyndham Championship,CUT,CUT,1,54,63.75,8,-0.5615
"McCarty, Matt",SEDGEFIELD,Wyndham Championship,8,—,—,—,8.0,1,2.5460000000000003
"Pavon, Matthieu",SEDGEFIELD,Wyndham Championship,72,—,—,—,72.0,1,-1.204
"Lower, Justin",SEDGEFIELD,Wyndham Championship,44,33,CUT,36,53.25,4,0.296
"Pendrith, Taylor",SEDGEFIELD,Wyndham Championship,—,—,CUT,13,56.5,2,-3.8975
"Power, Seamus",SEDGEFIELD,Wyndham Championship,44,28,—,—,36.0,7,0.296
"Lebioda, Hank",SEDGEFIELD,Wyndham Championship,—,—,CUT,CUT,100.0,5,-1.8975
"Skinns, David",SEDGEFIELD,Wyndham Championship,55,CUT,—,80,78.33333333333333,3,0.04600000000000004
"Spieth, Jordan",SEDGEFIELD,Wyndham Championship,31,CUT,—,—,65.5,4,1.046
"Straka, Sepp",SEDGEFIELD,Wyndham Championship,—,—,—,CUT,100.0,4,-6.823
"Hall, Harry",SEDGEFIELD,Wyndham Championship,15,CUT,CUT,—,71.66666666666667,3,2.0460000000000003
"Parry, John",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Crowe, Trace",SEDGEFIELD,Wyndham Championship,—,7,—,—,7.0,1,1.9754999999999998
"Snedeker, Brandt",SEDGEFIELD,Wyndham Championship,CUT,CUT,45,—,81.66666666666667,7,-0.5615
"Griffin, Lanto",SEDGEFIELD,Wyndham Championship,23,—,—,—,23.0,3,1.546
"Hrabak, Cooper",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Blanchet, Chandler",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Simpson, Webb",SEDGEFIELD,Wyndham Championship,27,CUT,5,WD,44.0,9,1.296
"Nyholm, Pontus",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Sargent, Gordon",SEDGEFIELD,Wyndham Championship,CUT,—,—,—,100.0,1,-1.5614999999999999
"Day, Jason",SEDGEFIELD,Wyndham Championship,—,—,—,WD,,1,2.487
"Springer, Hayden",SEDGEFIELD,Wyndham Championship,—,CUT,—,—,100.0,1,0.4109999999999999
"Whaley, Vince",SEDGEFIELD,Wyndham Championship,74,63,—,CUT,79.0,3,-1.9539999999999997
"Dunlap, Nick",SEDGEFIELD,Wyndham Championship,CUT,CUT,—,—,100.0,2,-2.0614999999999997
"Olesen, Thorbjorn",SEDGEFIELD,Wyndham Championship,62,CUT,—,—,81.0,2,-0.45400000000000007
"Stevens, Sam",SEDGEFIELD,Wyndham Championship,CUT,CUT,CUT,—,100.0,3,-0.5615
"Vilips, Karl",SEDGEFIELD,Wyndham Championship,19,—,—,—,19.0,1,1.7959999999999998
"Hubbard, Mark",SEDGEFIELD,Wyndham Championship,3,CUT,CUT,61,66.0,7,3.0460000000000003
"Stanger, Jimmy",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Novak, Andrew",SEDGEFIELD,Wyndham Championship,CUT,52,33,CUT,71.25,4,-1.0615
"Jaeger, Stephan",SEDGEFIELD,Wyndham Championship,CUT,CUT,14,13,56.75,6,-1.0615
"Li, Haotong",SEDGEFIELD,Wyndham Championship,—,—,—,—,,1,-1.254
"Coody, Pierceson",SEDGEFIELD,Wyndham Championship,CUT,61,—,—,80.5,2,-3.0615
"VanDerLaan, John",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Schenk, Adam",SEDGEFIELD,Wyndham Championship,CUT,CUT,64,CUT,91.0,8,-3.0614999999999997
"Svensson, Adam",SEDGEFIELD,Wyndham Championship,CUT,7,7,78,48.0,5,-0.0615
"Campbell, Brian",SEDGEFIELD,Wyndham Championship,CUT,—,—,—,100.0,2,-0.06149999999999989
"Pan, C.T.",SEDGEFIELD,Wyndham Championship,—,WD,64,WD,64.0,7,1.744
"Davis, Cam",SEDGEFIELD,Wyndham Championship,44,CUT,7,—,50.333333333333336,3,0.296
"Ramey, Chad",SEDGEFIELD,Wyndham Championship,CUT,52,CUT,CUT,88.0,4,-2.5614999999999997
"Malnati, Peter",SEDGEFIELD,Wyndham Championship,62,CUT,CUT,27,72.25,9,-0.4539999999999999
"Collet, Tyler",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Huskey, Keenan",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Campos, Rafael",SEDGEFIELD,Wyndham Championship,CUT,CUT,—,—,100.0,3,-0.0615
"Smotherman, Austin",SEDGEFIELD,Wyndham Championship,—,—,27,CUT,63.5,2,1.14025
"Tosti, Alejandro",SEDGEFIELD,Wyndham Championship,—,CUT,—,—,100.0,1,-2.589
"Rozo, Marcelo",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Hirata, Kensei",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Rodgers, Patrick",SEDGEFIELD,Wyndham Championship,15,33,CUT,36,46.0,8,2.0460000000000003
"McGirt, William",SEDGEFIELD,Wyndham Championship,—,—,—,CUT,100.0,3,-0.823
"Walker, Danny",SEDGEFIELD,Wyndham Championship,CUT,—,—,—,100.0,1,-1.5614999999999999
"Kizzire, Patton",SEDGEFIELD,Wyndham Championship,44,CUT,CUT,CUT,86.0,8,0.296
"Lamprecht, Christo",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
