player_name,course_name,event_name,birdies_plus,strokes,bogeys,pars,fw_pct,gir_pct,n_rounds,n_starts,window,trait_sig,by_designer,by_style,by_greens,birdies_plus_rank,strokes_rank,course_hist_birdies,course_hist_strokes,course_hist_bogeys,course_hist_pars,course_hist_fw,course_hist_gir,course_hit_rate
"Brown, Blades",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Koivun, Jackson",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Castillo, Ricky",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Kohles, Ben",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Grillo, Emiliano",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Ghim, Doug",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Harman, Brian",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Roy, Kevin",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Bradley, Keegan",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Riley, Davis",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Blanchet, Chandler",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Hoey, Rico",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Im, Sungjae",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Yu, Kevin",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Akina, Kihei",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Merritt, Troy",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Kim, Tom",SEDGEFIELD,Wyndham Championship,4.6667,68.0417,2.125,11.0833,67.0458,71.7583,24,7,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,4.0,3.9167,4.4583,2.0,2.0,3.0|7.0|5.0|7.0|2.0,70.0|63.0|67.0|65.0|73.0,1.0|0.0|0.0|2.0|5.0,13.0|11.0|12.0|9.0|11.0,7.994|13.006|9.996|9.996|7.0,12.996|16.002|14.994|12.996|12.006,60.0
"Jaeger, Stephan",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Van Rooyen, Erik",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Smith, Jordan",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Hodges, Lee",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Clanton, Luke",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Blair, Zac",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"James, Ben",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Meissner, Mac",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Horschel, Billy",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Lower, Justin",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Lipsky, David",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
"Highsmith, Joe",SEDGEFIELD,Wyndham Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):CHAMPION | FAIRWAYS:BERMUDA | LENGTH:NORMAL | PAR:70.0 | SCORING:NORMAL | WEATHER:GREAT | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | ROUGH LENGTH:NORMAL | WATER HAZARDS:5.0 | ROUGH AMOUNT:NORMAL | BUNKERS:52.0 | LOCATION:NORTH CAROLINA | Redesigned:KRIS SPENCER | DRAINAGE:BAD | RAIN:NO,,,,,,,,,,,,
